Tweet,Label,clean_tweet
"Bisa gak kita seperti Jokowi dan Ahok? Aku kalem, kamu tegas saling melengkapi. :')",Non_HS,bisa gak kita pei jokowi dan ahok aku kalem kamu tegas saling lengkap
"Bos mau makan di istana ga, Di undang noh makan di istana Gebang tapinya https:\/\/t.co\/ns6cUYCpUj",Non_HS,bos mau makan di istana ga di undang noh makan di istana gebang tapi
Cuti Habis Ahok Jadi Gubernur DKI Lagi? Pengamat: Jangan Mengada-ada | Republika Online https:\/\/t.co\/T3kzvq9E4e,Non_HS,cuti habis ahok jadi gubernur dki lagi amat jangan ada ada republika online
Debat terakhir Pilkada DKI Jakarta digelar Jumat malam. https:\/\/t.co\/e9ixz6Jllr,Non_HS,debat akhir pilkada dki jakaa gelar jumat malam
Demonstran FPD Malteng Desak Bawaslu Hentikan Sementara Tahapan Pilkada Maluku Tengah,Non_HS,demonstran fpd malteng desak bawaslu henti sementara tahap pilkada malu tengah
"Dulu Didesak Berhentikan Ahok Ngeles Usai Masa Cuti Pilkada, Sekarang Kampanye Mau Habis Kemendagri Ragu-ragu https:\/\/t.co\/92ss4trDcX",Non_HS,dulu desak henti ahok ngeles usai masa cuti pilkada sekarang kampanye mau habis kemendagri ragu ragu
"Gila gara2 pilkada, beberapa tokoh menampakkan watak aslinya.",Non_HS,gila gara pilkada beberapa tokoh tampak watak asli
Gontor Izinkan Santrinya Pulang Kampung Nyoblos Pilkada DKI | Republika Online https:\/\/t.co\/JhNOT8ecNz,Non_HS,gontor izin santri pulang kampung nyoblos pilkada dki republika online
"Gubernur non-aktif DKI Jakarta, Basuki Tjahaja Purnama atau Ahok, berencana merombak struktur jabatan pegawai... https:\/\/t.co\/cdKEZxF9xO",Non_HS,gubernur non aktif dki jakaa basuki tjahaja purnama atau ahok rencana rombak struktur jabat pegawai
HEBAT .. !!! Imam Besar Masjid Istiqlal : Kalimat Ahok 100% Tidak Ada Penistaan AGAMA .. !! SEBARKAN,Non_HS,hebat imam besar masjid istiqlal kalimat ahok tidak ada nista agama sebar
"Ibu2 aja, kalo beli telor pake milih2 sblm ditimbang. Pdh telor kan mirip2. Ibu2 itu tahu, telor ada yg busuk",Non_HS,ibu aja kalo beli telor pake milih sblm timbang pdh telor kan mirip ibu itu tahu telor ada yg busuk
Ini Jawaban Ahok Saat Ditanya Terkait Persiapan Debat Pilgub Terakhir Besok https:\/\/t.co\/S6rlsAR7Y9,Non_HS,ini jawab ahok saat tanya kait siap debat pilgub akhir besok
Ini Pesan Ahok di Hari Pers Nasional #KitaPastiPernah https:\/\/t.co\/h0L6mrjM3R,Non_HS,ini pesan ahok di hari pers nasional kitapastipernah
Istighotsah Bersama Ahok Catut Logo NU https:\/\/t.co\/U2rPY3C25R,Non_HS,istighotsah sama ahok catut logo nu
Itu yang ngomong jangan pilih Ahok Djarot pernah ngerasain banjir ga sih? :(,Non_HS,itu yang ngomong jangan pilih ahok djarot pernah ngerasain banjir ga sih
Iya aja deh dripada hoax...,Non_HS,iya aja deh dripada hoax
Jadi teringat para pelacur.belia yg dijual orang tuanya.sendiri di pantura.demi sesuap nasi https:\/\/t.co\/X5DdR7m693,Non_HS,jadi ingat para lacur belia yg jual orang tua sendiri di pantura demi suap nasi
jadi yg nyebar hoax ketahuan dong ada akun twitter nya lho,Non_HS,jadi yg nyebar hoax tahu dong ada akun twitter nya lho
Mpok @sylviana_murni-nya tolong Mas @AgusYudhoyono,Non_HS,mpok tolong mas
Ke Bidara beli mangga. Pulang nye liwat Slipi. Jangan lupa ingetin tetangga. Untuk milih Agus sylvi. #7HariLagiMilihAHY #AgusBersamaUlama,Non_HS,ke bidara beli mangga pulang nye liwat slip jangan lupa ingetin tetangga untuk milih agus sylvi harilagimilihahy agusbersamaulama
Serius tapi ada selipan hiburannya \ud83d\ude06\ud83d\ude06\ud83d\ude06 #pilkadadki2017 #DebatFinalPilkadaJKT,Non_HS,serius tapi ada selip hibur ud d ude ud d ude ud d ude pilkadadki debatfinalpilkadajkt
Sylvie sukses blunder bikin paslon 1 drop elektabilitasnya dengan fitnah dan spin salah pilih kader #DebatFinalPilkadaJKT,Non_HS,sylvie sukses blunder bikin paslon drop elektabilitasnya dengan fitnah dan spin salah pilih kader debatfinalpilkadajkt
Ahok: mari berlomba program #DebatFinalPilkadaJKT,Non_HS,ahok mari lomba program debatfinalpilkadajkt
#DebatFinalPilkadaJKT aduh... Kecewa pertanyaan paslon 1....,Non_HS,debatfinalpilkadajkt aduh kecewa peanyaan paslon
RT @agusdansylvi: #DebatFinalPilkadaJKT Saya pilih nomor 1. Sektor informal akan dimajukan mas Agus dan Mpok Sylvi.,Non_HS,debatfinalpilkadajkt saya pilih nomor sektor informal akan maju mas agus dan mpok sylvi
RT @JTmor: Ahok pilihan terbaik untuk Jakarta,Non_HS,ahok pilih baik untuk jakaa
RT @augustfrankto: #DebatFinalPilkadaJKT Bu Silvy curhat karena pernah dimarahi sama Pak Ahok...hehe..,Non_HS,debatfinalpilkadajkt bu silvy curhat karena pernah marah sama pak ahok hehe
Mantap pak AHOK #DebatFinalPilkadaJKT,Non_HS,mantap pak ahok debatfinalpilkadajkt
Ahok gagah kaya gatot kaca! #DebatFinalPilkadaJKT,Non_HS,ahok gagah kaya gatot kaca debatfinalpilkadajkt
Telaaaakkk nomer satuuuu. Nghahahaha #DebatFinalPilkadaJKT,Non_HS,telaaaakkk nomer satuuuu nghahahaha debatfinalpilkadajkt
Lomba adu program #DebatFinalPilkadaJKT #SkakSilvi,Non_HS,lomba adu program debatfinalpilkadajkt skaksilvi
#DebatFinalPilkadaJKT Denger banyak program dan janji dan sering tau pas jadi ga dijalankan rasanya males aja sih.,Non_HS,debatfinalpilkadajkt denger banyak program dan janji dan sering tau pas jadi ga jalan rasa males aja sih
DEBAT CAGUB DKI ke 3 - 10 Februari 2017 - Segmen 3 Mantap Ahok SKAK Sylviana Murni\n\n#DebatFinalPilkadaJKT,Non_HS,debat cagub dki ke februari segmen mantap ahok skak sylviana murni n n debatfinalpilkadajkt
Pertanyaan Ibu Silvy rada maksa.. #DebatFinalPilkadaJKT,Non_HS,peanyaan ibu silvy rada maksa debatfinalpilkadajkt
"Tanggal 15, pas pilkada nanti sy gak akan milih siapa-siapa ah!",Non_HS,tanggal pas pilkada nanti sy gak akan milih siapa siapa ah
"Saya pribadi bakal prefer kok muslim dengan kapabilitas, tetapi lihat kondisinya Ahok menjadi pilihan plg realistis buat kemajuan DKI",Non_HS,saya pribadi bakal prefer kok muslim dengan kapabilitas tetapi lihat kondisi ahok jadi pilih plg realistis buat maju dki
"Yang mendukung Mas Anies bukan berarti anti Pak Ahok, begitu Pula sebaliknya",Non_HS,yang dukung mas anies bukan berai anti pak ahok begitu pula balik
Spanduk Tolak Salatkan Pembela Penista Agama juga Muncul di Kalibata https:\/\/t.co\/Sr1PbYtigN,Non_HS,spanduk tolak salat bela nista agama juga muncul di kalibata
#DebatFinalPilkadaJKT Telak banget anjir ngakak!,Non_HS,debatfinalpilkadajkt telak banget anjir ngakak
Ayo berlomba program jangan fitnah2 #DebatFinalPilkadaJKT,Non_HS,ayo lomba program jangan fitnah debatfinalpilkadajkt
RT @deelestari: Akhirnya nggak ngantuk lagi! Yeay! #DebatFinalPilkadaJKT,Non_HS,akhir nggak ngantuk lagi yeay debatfinalpilkadajkt
Duh dibilang ga punya program paslon 1... kesian kesian kesian ... #debatfinalpilkadajkt,Non_HS,duh bilang ga punya program paslon kesi kesi kesi debatfinalpilkadajkt
"Tuntut Keadilan Bagi Penista Agama, Puluhan Jawara Betawi Ikuti Aksi 212 Jilid II https:\/\/t.co\/HWVuoZyYov",Non_HS,tuntut adil bagi nista agama puluh jawara betawi ikut aksi jilid ii
Keras nih ahok #DebatFinalPilkadaJKT,Non_HS,keras nih ahok debatfinalpilkadajkt
Paslon 3 Anies Sandiaga Uno 15 Feb 2017 Utk Jakarta Indonesia Raya OK OCE,Non_HS,paslon anies sandiaga uno feb utk jakaa indonesia raya ok oce
Sesuai namanya: RONDE FINAL\n\n#DebatFinalPilkadaJKT,Non_HS,sesuai nama ronde final n n debatfinalpilkadajkt
"Mendagri Tambah Pusing, Ketika MA Emoh Keluarkan Fatwa Status Gubernur Penista Agama https:\/\/t.co\/J34aMQiMNi",Non_HS,mendagri tambah pusing ketika ma emoh keluar fatwa status gubernur nista agama
Tolong adu program,Non_HS,tolong adu program
Genderang perang makin kencang #DebatFinalPilkadaJKT,Non_HS,genderang perang makin kencang debatfinalpilkadajkt
Mpok sylvi udah mulai emosi \ud83d\ude02\n #DebatFinalPilkadaJKT,Non_HS,mpok sylvi udah mulai emosi ud d ude n debatfinalpilkadajkt
Some people gabisa bedain kasar sama tegas. #DebatFinalPilkadaJKT,Non_HS,some people gabisa bedain kasar sama tegas debatfinalpilkadajkt
Beliau para pemimpin hebat Indonesia! Kita bangga https:\/\/t.co\/NAWbps9Xpt https:\/\/t.co\/5cC2U9AIEv,Non_HS,beliau para pimpin hebat indonesia kita bangga
@InformasiDKI mungkin bu silvy jg pengen foto sama pak ahok hihihi #DebatFinalPilkadaJKT,Non_HS,mungkin bu silvy jg ken foto sama pak ahok hihihi debatfinalpilkadajkt
#DebatFinalPilkadaJKT Mulai saling serang deh,Non_HS,debatfinalpilkadajkt mulai saling serang deh
RT @InaKinoy: baca ini dulu lah biar mendinginkan suasana #DebatFinalPilkadaJKT https:\/\/t.co\/Em9GCKc4qe,Non_HS,baca ini dulu lah biar dingin suasana debatfinalpilkadajkt
ayo berlomba program jgn pitnah doank.. #DebatFinalPilkadaJKT #BadjaPastimenang,Non_HS,ayo lomba program jgn pitnah doank debatfinalpilkadajkt badjapastimenang
RT @qronoz: Pokoknya kalo Ahok udah ngomong: Aduuuuuuh KELAR. #DebatFinalPilkadaJKT,Non_HS,pokok kalo ahok udah ngomong aduuuuuuh kelar debatfinalpilkadajkt
Senjata makan tuan #DebatFinalPilkadaJKT #DebatFinalDKI,Non_HS,senjata makan tuan debatfinalpilkadajkt debatfinaldki
Ahok kekerasan verbal? Masa koruptor dielus2 #DebatFinalPilkadaJKT,Non_HS,ahok keras verbal masa koruptor elus debatfinalpilkadajkt
RT @qronoz: Gak ada program yang mau diserang yang diserang karakternya. AHaY! \ud83d\ude02 #DebatFinalPilkadaJKT,Non_HS,gak ada program yang mau serang yang serang karakter ahay ud d ude debatfinalpilkadajkt
Terkait Jakarta tak Ramah anak apa tanggapan Pak @aniesbaswedan https:\/\/t.co\/ufA55UWBcI,Non_HS,kait jakaa tak ramah anak apa tanggap pak
emang OK OCE anies dan sandi dalam mengatasi urbanisasi dan lapangan kerja #DebatFinalPilkadaJKT https:\/\/t.co\/BrCeCZSkux,Non_HS,emang ok oce anies dan sandi dalam atas urbanisasi dan lapang kerja debatfinalpilkadajkt
Suporternya mulai kampungan paslon masih ngomong jg ...... #DebatFinalPilkadaJKT,Non_HS,supoernya mulai kampung paslon masih ngomong jg debatfinalpilkadajkt
Mulai seru ni #DebatFinalPilkadaJKT,Non_HS,mulai seru ni debatfinalpilkadajkt
#DebatFinalPilkadaJKT nangis nangis ketonjok lagi,Non_HS,debatfinalpilkadajkt nang nang tonjok lagi
RT @Kafyonaa: JADI DEBAT TERAKHIR NANTI MALAM PILIHANMU JATUH KE PASLON YANG MANA? #DebatFinalPilkadaJKT #Debat3PilkadaDKI,Non_HS,jadi debat akhir nanti malam pilih jatuh ke paslon yang mana debatfinalpilkadajkt debat pilkadadki
RT @magendajuang: Wkwkwk udah dah pilih Anies Sandi aja :) #DebatFinalPilkadaJKT https:\/\/t.co\/hMXhjyHBnJ,Non_HS,wkwkwk udah dah pilih anies sandi aja debatfinalpilkadajkt
fitnah lebih kejam loh dari pembunuhan #DebatFinalPilkadaJKT,Non_HS,fitnah lebih kejam loh dari bunuh debatfinalpilkadajkt
mari #debatsehat. jangan coba pakai #datasesat. #DebatFinalPilkadaJKT #DebatFinalDiKompasTV,Non_HS,mari debatsehat jangan coba pakai datasesat debatfinalpilkadajkt debatfinaldikompastv
"RT @prastow: Apapun itu, keberanian Ahok membongkar mafia anggaran menjadi tonggak penting menuju APBD yg kredibel dan akuntabel.",Non_HS,apa itu berani ahok bongkar mafia anggar jadi tonggak penting tuju apbd yg kredibel dan akuntabel
RT @SydSalesman: inilah wujud nasional-is-me dagangannya @pandji ... hebat! https:\/\/t.co\/0fYIG6c2xl,Non_HS,ini wujud nasional is me dagang hebat
Pak dosen makin keliatan aslinya :(,Non_HS,pak dosen makin liat asli
RT @gabriellaanDini: Dulu di awal kampanye bukannya uda deklarasi anti SARA??? Tadinya gw pikir no.3 lebih mending dari no.1,Non_HS,dulu di awal kampanye bukan uda deklarasi anti sara tadi gw pikir no lebih mending dari no
#DebatFinalPilkadaJKT mateng mpok Silvy di bombardir Pak Ahok... jawaban cerdas Pak Ahok..,Non_HS,debatfinalpilkadajkt mateng mpok silvy di bombardir pak ahok jawab cerdas pak ahok
#DebatFinalPilkadaJKT mohon tenang,Non_HS,debatfinalpilkadajkt mohon tenang
Yg no.1 nih ngomongin hal yg di luar program mulu ya. Ngga ada bhan ya bwt serang lawan.. Cape dehh! #DebatFinalDKI #DebatFinalPilkadaJKT,Non_HS,yg no nih ngomongin hal yg di luar program mulu ya ngga ada bhan ya bwt serang lawan cape dehh debatfinaldki debatfinalpilkadajkt
Cinta pak Ahok pokoknya #DebatFinalPilkadaJKT,Non_HS,cinta pak ahok pokok debatfinalpilkadajkt
#DebatFinalPilkadaJKT nggak cuma ibu2 yang pengen foto sama Ahok bapak2 juga lho,Non_HS,debatfinalpilkadajkt nggak cuma ibu yang ken foto sama ahok bapak juga lho
Mas Agus saya akui malam ini....rambut kamu bagus! #DebatFinalPilkadaJKT,Non_HS,mas agus saya aku malam ini rambut kamu bagus debatfinalpilkadajkt
RT @republikaonline: Ahok Janji Berani Tutup Tempat Hiburan Malam yang Jual Narkoba,Non_HS,ahok janji berani tutup tempat hibur malam yang jual narkoba
Agus-Sylvi sisipkan bahasa jawa saat debat https:\/\/t.co\/fGTfXgaINx,Non_HS,agus sylvi sisip bahasa jawa saat debat
"RT @hariadhi: Ahok udah perhatikan penyandang disabilitas, jauuuh sebelum kandidat lain berjanji #NobarAhokDjarot #BadjaPastiJuara",Non_HS,ahok udah perhati sandang disabilitas jauuuh belum kandidat lain janji nobarahokdjarot badjapastijuara
Ahok keren!!! #DebatFinalPilkadaJKT,Non_HS,ahok keren debatfinalpilkadajkt
Gimana ya Tim Ahok kok makin disudutkan(?) Mungkin karena ini final kali y,Non_HS,gimana ya tim ahok kok makin sudut mungkin karena ini final kali y
Nih fakta buat yg asbun. #BadjaPastimenang #DebatFinalPilkadaJKT,Non_HS,nih fakta buat yg asbun badjapastimenang debatfinalpilkadajkt
Siap-siap meme CCTV. #DebatFinalPilkadaJKT #Debat3PilkadaDKI #DebatFinalDKI,Non_HS,siap siap meme cctv debatfinalpilkadajkt debat pilkadadki debatfinaldki
Nyinyir tingkat nasional #DebatFinalPilkadaJKT,Non_HS,nyinyir tingkat nasional debatfinalpilkadajkt
Drama bgt itu :(( #DebatFinalPilkadaJKT,Non_HS,drama bgt itu debatfinalpilkadajkt
Ini judulnya Debat atau nyerang paslon 2 ?????? #DebatFinalPilkadaJKT,Non_HS,ini judul debat atau nyerang paslon debatfinalpilkadajkt
Lha kok menyerang gitu ya #DebatFinalPilkadaJKT,Non_HS,lha kok serang gitu ya debatfinalpilkadajkt
Debat sama berantem beda tipis #DebatFinalPilkadaJKT,Non_HS,debat sama antem beda tipis debatfinalpilkadajkt
Orang tegas dibilang maki-maki orang -_- #DebatFinalPilkadaJKT,Non_HS,orang tegas bilang maki maki orang debatfinalpilkadajkt
1 atau 2 perempuan berbeda dengan kaum perempuan #DebatFinalPilkadaJK,Non_HS,atau perempuan beda dengan kaum perempuan debatfinalpilkadajk
mantap OK OCE anies sandi dalam mengatasi urbanisasi dan lapangan kerja,Non_HS,mantap ok oce anies sandi dalam atas urbanisasi dan lapang kerja
RT @WisnuDewobroto: Ga seru nih. selalu mengungkit masa lalu :). kekerasan Verbal semua pernah lakukan manusia biasa. #DebatFinalPilkadaJKT,Non_HS,ga seru nih selalu ungkit masa lalu keras verbal semua pernah laku manusia biasa debatfinalpilkadajkt
satu perempuan bukan semua perempuan #DebatFinalPilkadaJKT,Non_HS,satu perempuan bukan semua perempuan debatfinalpilkadajkt
#DebatFinalPilkadaJKT Pertanyaan paslon 1 dpt dikategorikan sbg kekerasan dalam debat.,Non_HS,debatfinalpilkadajkt peanyaan paslon dpt kategori sbg keras dalam debat
@jokowi pak maafkan saya. Biarkan malam ini saja saya memposting ujaran kebencian. Hanya malam ini saja pak xoxo #DebatFinalPilkadaJKT,Non_HS,pak maaf saya biar malam ini saja saya memposting ujar benci hanya malam ini saja pak xoxo debatfinalpilkadajkt
Semoga Allah memenangkan pak Anies-sandi https:\/\/t.co\/sns0rXRw3f,Non_HS,moga allah menang pak anies sandi
#DebatFinalPilkadaJKT non muslim coblos Ahok muslim coblos Djarot. Bagaimana?,Non_HS,debatfinalpilkadajkt non muslim coblos ahok muslim coblos djarot bagaimana
#DebatFinalPilkadaJKT *pemimpin harus dapat ciptakan suasana damai tentram dan bukan adu domba atau hasutan,Non_HS,debatfinalpilkadajkt pimpin harus dapat cipta suasana damai tentram dan bukan adu domba atau hasut
Saya bertanya kepada Bapak Presiden dan Kapolri OK OCE tuh apaan? #DebatFinalPilkadaJKT,Non_HS,saya bea kepada bapak presiden dan kapolri ok oce tuh apa debatfinalpilkadajkt
Keliatan banget keberpihakan media #DebatFinalPilkadaJKT,Non_HS,liat banget pihak media debatfinalpilkadajkt
RT @di_HatiKecil: Bagus nih ilustrasinya #DebatFinalPilkadaJKT https:\/\/t.co\/zAQLqrBiUF,Non_HS,bagus nih ilustrasi debatfinalpilkadajkt
RT @rezaoktovian: Ahok terlalu keren :'),Non_HS,ahok terlalu keren
isinya timeline twitter cm pilkada.. membosankan sekali..,Non_HS,isi timeline twitter cm pilkada bosan sekali
Mohon tenang mohon tenang #DebatFinalPilkadaJKT,Non_HS,mohon tenang mohon tenang debatfinalpilkadajkt
ah diulang. Jawabannya bisa beda kan? #DebatFinalPilkadaJKT,Non_HS,ah ulang jawab bisa beda kan debatfinalpilkadajkt
Perasaan bukan pertanyaan itu deh yg td dijawab om @aniesbaswedan audionya ga keluar atau ia ya? #DebatFinalPilkadaJKT,Non_HS,asa bukan peanyaan itu deh yg td jawab om audio ga keluar atau ia ya debatfinalpilkadajkt
Boleh tinggal di pinggir kali meski bukan tanahnya boleh jualan di pinggir jalan,Non_HS,boleh tinggal di pinggir kali meski bukan tanah boleh jual di pinggir jalan
RT @rigenz123: Sehatkan Warga DKI Melalui #JakartaBerlari Barulah Pembangunan Dapat Sejahterakan Warganya. #DebatFinalPilkadaJKT,Non_HS,sehat warga dki lalu jakaaberlari baru bangun dapat sejahtera warga debatfinalpilkadajkt
kalau kamu diputuskan pacar tanpa sebab mungkin program OKE OCE bisa jadi solusi nya #DebatFinalPilkadaJKT,Non_HS,kalau kamu putus pacar tanpa sebab mungkin program oke oce bisa jadi solusi nya debatfinalpilkadajkt
Melibatkan yang paham pada bidangnya untuk duduk bersama memecahkan solusi. Cara kepemimpinan yg cerdas ! #DebatFinalPilkadaJKT,Non_HS,libat yang paham pada bidang untuk duduk sama pecah solusi cara pimpin yg cerdas debatfinalpilkadajkt
Justru laki-laki lah yang sering mengalami kekerasan verbal. Berapa kali dirimu dimarahi istrimu..? Ayo ngaku.,Non_HS,justru laki laki lah yang sering alami keras verbal berapa kali diri marah istri ayo ngaku
RT @TirtoID: Soal gerakan-gerakan ala @aniesbaswedan #PeriksaData #DebatFinalPilkadaJKT,Non_HS,soal gera gera ala periksadata debatfinalpilkadajkt
Mayoritas warga Jakarta ingin dipimpin Gubernur baru. Emang iya? #DebatFinalPilkadaJKT,Non_HS,mayoritas warga jakaa ingin pimpin gubernur baru emang iya debatfinalpilkadajkt
Paslon 1 selalu nyerang paslon 2 ni #DebatFinalPilkadaJKT,Non_HS,paslon selalu nyerang paslon ni debatfinalpilkadajkt
RT @JktMajuBersama: Upaya Anies-Sandi untuk mendukung perempuan menjadi pelaku UKM :) #DebatFinalPilkadaJKT,Non_HS,upaya anies sandi untuk dukung perempuan jadi laku ukm debatfinalpilkadajkt
Salah satu indikator meningkatnya kualitas hidup warga Jkt adl terus bisa tersenyum seperti Pak Djarot malam ini,Non_HS,salah satu indikator tingkat kualitas hidup warga jkt adl terus bisa senyum pei pak djarot malam ini
Tontonan yg wajib ditunggu sehabis #DebatFinalPilkadaJKT,Non_HS,tonton yg wajib tunggu habis debatfinalpilkadajkt
"RT @ainouun: Pak Ahok : penyandang disabilitas bukan hanya mereka, suatu saat kita juga bisa jadi. #DebatFinalPilkadaJKT",Non_HS,pak ahok sandang disabilitas bukan hanya mereka suatu saat kita juga bisa jadi debatfinalpilkadajkt
"RT @tribunjateng: Saat Jeda, Ahok dan Djarot Sapa Ganjar Pranowo dari Atas Panggung",Non_HS,saat jeda ahok dan djarot sapa ganjar pranowo dari atas panggung
@Boojaee sayang hyung cuma pencitraan :* wkwk,Non_HS,sayang hyung cuma citra wkwk
"@kurawa Msh inget sm ibu penjual kue di balaikota, cm Pak Ahok yg tau klo si ibu sakit, ibu itu langsung diurus ke rs. Ini bukan pencitraan.",Non_HS,msh inget sm ibu jual kue di balaikota cm pak ahok yg tau klo si ibu sakit ibu itu langsung urus ke rs ini bukan citra
Biar jajan naik sejuta https://t.co/veZ5PXxDfr,Non_HS,biar jajan naik juta
bio gw belum diganti astagfirullah rusak pencitraan cewe cantik,Non_HS,bio gw belum ganti astagfirullah rusak citra cewe cantik
#MataNajwaDebatJakarta Ya ampun udh closing statement msh aja commentnya ky gitu ya,Non_HS,matanajwadebatjakaa ya ampun udh closing statement msh aja commentnya ky gitu ya
Hah uda closing statement?? Cepet bener?? #DebatFinalPilkadaJKT,Non_HS,hah uda closing statement cepet bener debatfinalpilkadajkt
RT @digembok: #DebatFinalPilkadaJKT kali ini keren.Biasanya ada sesi tanya-jawab Kali ini ada SESI CURHAT,Non_HS,debatfinalpilkadajkt kali ini keren biasa ada sesi tanya jawab kali ini ada sesi curhat
Ketiga paslon gagal menjawab pertanyaan yang jawabannya harus memuji kebaikan paslon lain,Non_HS,tiga paslon gagal jawab peanyaan yang jawab harus puji baik paslon lain
Mari berjuang bersama SBYudhoyono utk memenangkan #SaduddinDhani di #PilkadaKabBekasi2017 #BekasiSAH #BekasiBerjaya,Non_HS,mari juang sama sbyudhoyono utk menang saduddindhani di pilkadakabbekasi bekasisah bekasiberjaya
"Jikapun aparatur bisa dibeli, kyai dan santri oplosan dibeli. Masih ada yng ASLI, siap MELAWAN KETIDAKADILAN https://t.co/riloAH9gAd",Non_HS,jika aparatur bisa beli kyai dan santri oplos beli masih ada yng asli siap lawan ketidakadilan
Pasangan mana yang unggul dalam debat kandidat Gubernur-Wagub DKI Jakarta Malam Ini?,Non_HS,pasang mana yang unggul dalam debat kandidat gubernur wagub dki jakaa malam ini
"Keberagaman itu datang dr hati terdalam, bukan dr pencitraan #Tetap3 #JKTBeragam",Non_HS,agam itu datang dr hati dalam bukan dr citra tetap jktberagam
"Membangun bangsa dan negara ini engga cukup dengan metoda pencitraan saja ,tanpa teruji lewat rekam jejak dan integritas tokohnya",Non_HS,bangun bangsa dan negara ini engga cukup dengan metoda citra saja tanpa uji lewat rekam jejak dan integritas tokoh
"RT @adelladellaide: Bersikap baik dan menjaga prilaku di depan umum bukan berarti pencitraan, bukan pula ""menjadi orang lain"".",Non_HS,sikap baik dan jaga prilaku di depan umum bukan berai citra bukan pula jadi orang lain
"RT @FiersaBesari: Saat jujur, ada yg curiga. Saat berbuat baik, ada yg menuduh pencitraan. Saat bahagia, ada yg iri. Abaikan.",Non_HS,saat jujur ada yg curiga saat buat baik ada yg tuduh citra saat bahagia ada yg iri abai
"Umat Islam yg peduli agama mrk, tentu tdk akan tergoda dg trik2 konyol seperti ini, InshaAllah umat Islam sdh sadar https://t.co/PFH1MPsKFO",Non_HS,umat islam yg peduli agama mrk tentu tdk akan goda dg trik konyol pei ini inshaallah umat islam sdh sadar
"#AniesIntoleran \nAnies Baswedan, tak lagi memiliki integritas dan kredibilitas sebagai seorang pemimpin. https://t.co/rv053Gt4j8",Non_HS,aniesintoleran nanies baswedan tak lagi milik integritas dan kredibilitas bagai orang pimpin
@agusriyadi12345 Apakah perlu semua berita ahok harus menggunakan penista agama. Misalnya Penista agama sedang kampanye di Jakarta pusat.,Non_HS,apakah perlu semua berita ahok harus guna nista agama misal nista agama sedang kampanye di jakaa pusat
"@agusriyadi12345 Apakah tidak sadis, jika semua berita tentang ahok, judulnya diawali degan Terdakwa penista agama bukan menggunakan nama?",Non_HS,apakah tidak sadis jika semua berita tentang ahok judul awal degan dakwa nista agama bukan guna nama
"@Altefalken kemarin kan ada berita tentang penyakit mengingitis dari Babi, mksd gw apa nyambungnya sama ahok?",Non_HS,kemarin kan ada berita tentang sakit mengingitis dari babi mksd gw apa nyambungnya sama ahok
@ISejunnie @AHMADDHANIPRAST artis korea bisa world tour ahmad dhani bisa ?,Non_HS,ais korea bisa world tour ahmad dhani bisa
"@HaqueMarissa ,, ahok di jakarta , daging babi di bali apa hubungan nya ya??",Non_HS,ahok di jakaa daging babi di bal apa hubung nya ya
